,county,population,state
1854,Harnett,130674,north carolina
1855,Haywood,60405,north carolina
1856,Henderson,113583,north carolina
1857,Hertford,24209,north carolina
1858,Hoke,52981,north carolina
1859,Hyde,5434,north carolina
1860,Iredell,172466,north carolina
1861,Jackson,42622,north carolina
1862,Johnston,190843,north carolina
1863,Jones,9588,north carolina
1864,Lee,59646,north carolina
1865,Lenoir,57240,north carolina
1866,Lincoln,81229,north carolina
1867,McDowell,44866,north carolina
1868,Macon,34262,north carolina
1869,Madison,21367,north carolina
1870,Martin,23122,north carolina
1871,Mecklenburg,1056901,north carolina
1872,Mitchell,14996,north carolina
1873,Montgomery,27301,north carolina
1874,Moore,95405,north carolina
1875,Nash,93953,north carolina
1876,New Hanover,224809,north carolina
1877,Northampton,20127,north carolina
1878,Onslow,192314,north carolina
1879,Orange,142800,north carolina
1880,Pamlico,12765,north carolina
1881,Pasquotank,39392,north carolina
1882,Pender,58771,north carolina
1883,Perquimans,13402,north carolina
1884,Person,39270,north carolina
1885,Pitt,177171,north carolina
1886,Polk,20414,north carolina
1887,Randolph,143062,north carolina
1888,Richmond,45012,north carolina
1889,Robeson,133383,north carolina
1890,Rockingham,91308,north carolina
1891,Rowan,139410,north carolina
1892,Rutherford,66286,north carolina
1893,Sampson,63225,north carolina
1894,Scotland,35309,north carolina
1895,Stanly,60826,north carolina
1896,Stokes,45920,north carolina
1897,Surry,72008,north carolina
1898,Swain,14190,north carolina
1899,Transylvania,33393,north carolina
1900,Tyrrell,4024,north carolina
1901,Union,226279,north carolina
1902,Vance,44485,north carolina
1903,Wake,1048335,north carolina
1904,Warren,19884,north carolina
1905,Washington,12070,north carolina
1906,Watauga,54140,north carolina
1907,Wayne,124269,north carolina
1908,Wilkes,68581,north carolina
1909,Wilson,81307,north carolina
1910,Yadkin,37653,north carolina
1911,Yancey,17610,north carolina
1912,Adams,2344,north dakota
1913,Barnes,10899,north dakota
1914,Benson,6840,north dakota
1915,Billings,948,north dakota
1916,Bottineau,6573,north dakota
1917,Bowman,3222,north dakota
1918,Burke,2227,north dakota
1919,Burleigh,94606,north dakota
1920,Cass,174189,north dakota
1921,Cavalier,3824,north dakota
1922,Dickey,4987,north dakota
1923,Divide,2391,north dakota
1924,Dunn,4372,north dakota
1925,Eddy,2288,north dakota
1926,Emmons,3338,north dakota
1927,Foster,3309,north dakota
1928,Golden Valley,1857,north dakota
1929,Grand Forks,70473,north dakota
1930,Grant,2379,north dakota
1931,Griggs,2258,north dakota
1932,Hettinger,2597,north dakota
1933,Kidder,2475,north dakota
1934,LaMoure,4113,north dakota
1935,Logan,1930,north dakota
1936,McHenry,5970,north dakota
1937,McIntosh,2599,north dakota
1938,McKenzie,12572,north dakota
1939,McLean,9643,north dakota
1940,Mercer,8616,north dakota
1941,Morton,30732,north dakota
1942,Mountrail,10234,north dakota
1943,Nelson,2889,north dakota
1944,Oliver,1895,north dakota
1945,Pembina,7046,north dakota
1946,Pierce,4216,north dakota
1947,Ramsey,11557,north dakota
1948,Ransom,5375,north dakota
1949,Renville,2517,north dakota
1950,Richland,16289,north dakota
1951,Rolette,14716,north dakota
1952,Sargent,3883,north dakota
1953,Sheridan,1342,north dakota
1954,Sioux,4457,north dakota
1955,Slope,781,north dakota
1956,Stark,30869,north dakota
1957,Steele,1912,north dakota
1958,Stutsman,21068,north dakota
1959,Towner,2249,north dakota
1960,Traill,8001,north dakota
1961,Walsh,10816,north dakota
1962,Ward,69489,north dakota
1963,Wells,4049,north dakota
1964,Williams,34213,north dakota
1965,Adams,27807,ohio
1966,Allen,103613,ohio
1967,Ashland,53520,ohio
1968,Ashtabula,98171,ohio
1969,Athens,66352,ohio
1970,Auglaize,45766,ohio
1971,Belmont,68606,ohio
1972,Brown,43638,ohio
1973,Butler,378354,ohio
1974,Carroll,27621,ohio
1975,Champaign,38741,ohio
1976,Clark,134723,ohio
1977,Clermont,203165,ohio
1978,Clinton,41887,ohio
1979,Columbiana,103817,ohio
1980,Coshocton,36617,ohio
1981,Crawford,42095,ohio
1982,Cuyahoga,1254144,ohio
1983,Darke,51624,ohio
1984,Defiance,38140,ohio
1985,Delaware,197144,ohio
1986,Erie,74999,ohio
1987,Fairfield,152789,ohio
1988,Fayette,28670,ohio
1989,Franklin,1274450,ohio
1990,Fulton,42306,ohio
1991,Gallia,30186,ohio
1992,Geauga,93845,ohio
1993,Greene,165290,ohio
1994,Guernsey,39211,ohio
1995,Hamilton,811332,ohio
1996,Hancock,75831,ohio
1997,Hardin,31398,ohio
1998,Harrison,15252,ohio
1999,Henry,27282,ohio
2000,Highland,43006,ohio
2001,Hocking,28393,ohio
2002,Holmes,43847,ohio
2003,Huron,58367,ohio
2004,Jackson,32528,ohio
2005,Jefferson,66944,ohio
2006,Knox,60909,ohio
2007,Lake,229525,ohio
2008,Lawrence,60691,ohio
2009,Licking,171993,ohio
2010,Logan,45128,ohio
2011,Lorain,306607,ohio
2012,Lucas,432879,ohio
2013,Madison,43377,ohio
2014,Mahoning,230269,ohio
2015,Marion,65467,ohio
2016,Medina,176876,ohio
2017,Meigs,23166,ohio
2018,Mercer,40715,ohio
2019,Miami,104553,ohio
2020,Monroe,14083,ohio
2021,Montgomery,531818,ohio
2022,Morgan,14733,ohio
2023,Morrow,34922,ohio
2024,Muskingum,85993,ohio
2025,Noble,14441,ohio
2026,Ottawa,40488,ohio
2027,Paulding,18839,ohio
2028,Perry,35998,ohio
2029,Pickaway,57545,ohio
2030,Pike,28093,ohio
2031,Portage,162521,ohio
2032,Preble,41157,ohio
2033,Putnam,34007,ohio
2034,Richland,121242,ohio
2035,Ross,76848,ohio
2036,Sandusky,59317,ohio
2037,Scioto,76436,ohio
2038,Seneca,55467,ohio
2039,Shelby,48765,ohio
2040,Stark,373447,ohio
2041,Summit,541003,ohio
2042,Trumbull,201715,ohio
2043,Tuscarawas,92560,ohio
2044,Union,55581,ohio
2045,Van Wert,28177,ohio
2046,Vinton,13022,ohio
2047,Warren,226539,ohio
2048,Washington,60598,ohio
2049,Wayne,116613,ohio
2050,Williams,36937,ohio
2051,Wood,129768,ohio
2052,Wyandot,22071,ohio
2053,Adair,22305,oklahoma
2054,Alfalfa,5936,oklahoma
2055,Atoka,13894,oklahoma
2056,Beaver,5435,oklahoma
2057,Beckham,22427,oklahoma
2058,Blaine,9625,oklahoma
2059,Bryan,45599,oklahoma
2060,Caddo,29630,oklahoma
2061,Canadian,136386,oklahoma
2062,Carter,48431,oklahoma
2063,Cherokee,48791,oklahoma
2064,Choctaw,14877,oklahoma
2065,Cimarron,2189,oklahoma
2066,Cleveland,277809,oklahoma
2067,Coal,5652,oklahoma
2068,Comanche,121743,oklahoma
2069,Cotton,5933,oklahoma
2070,Craig,14465,oklahoma
2071,Creek,71191,oklahoma
2072,Custer,29222,oklahoma
2073,Delaware,41965,oklahoma
2074,Dewey,4905,oklahoma
2075,Ellis,4085,oklahoma
2076,Garfield,62493,oklahoma
2077,Garvin,27940,oklahoma
2078,Grady,54683,oklahoma
2079,Grant,4454,oklahoma
2080,Greer,5954,oklahoma
2081,Harmon,2712,oklahoma
2082,Harper,3776,oklahoma
2083,Haskell,12695,oklahoma
2084,Hughes,13417,oklahoma
2085,Jackson,25440,oklahoma
2086,Jefferson,6250,oklahoma
2087,Johnston,11126,oklahoma
2088,Kay,44901,oklahoma
2089,Kingfisher,15613,oklahoma
2090,Kiowa,9025,oklahoma
2091,Latimer,10550,oklahoma
2092,Le Flore,50144,oklahoma
2093,Lincoln,34872,oklahoma
2094,Logan,46027,oklahoma
2095,Love,10016,oklahoma
2096,McClain,38597,oklahoma
2097,McCurtain,33078,oklahoma
2098,McIntosh,19766,oklahoma
2099,Major,7751,oklahoma
2100,Marshall,16237,oklahoma
2101,Mayes,41035,oklahoma
2102,Murray,13909,oklahoma
2103,Muskogee,69012,oklahoma
2104,Noble,11410,oklahoma
2105,Nowata,10415,oklahoma
2106,Okfuskee,12079,oklahoma
2107,Oklahoma,784611,oklahoma
2108,Okmulgee,39075,oklahoma
2109,Osage,47364,oklahoma
2110,Ottawa,31592,oklahoma
2111,Pawnee,16471,oklahoma
2112,Payne,81850,oklahoma
2113,Pittsburg,44335,oklahoma
2114,Pontotoc,38512,oklahoma
2115,Pottawatomie,72001,oklahoma
2116,Pushmataha,11070,oklahoma
2117,Roger Mills,3671,oklahoma
2118,Rogers,90992,oklahoma
2119,Seminole,25137,oklahoma
2120,Sequoyah,41867,oklahoma
2121,Stephens,43998,oklahoma
2122,Texas,21183,oklahoma
2123,Tillman,7525,oklahoma
2124,Tulsa,645951,oklahoma
2125,Wagoner,77662,oklahoma
2126,Washington,52027,oklahoma
2127,Washita,11433,oklahoma
2128,Woods,9157,oklahoma
2129,Woodward,20975,oklahoma
2130,Baker,15971,oregon
2131,Benton,89918,oregon
2132,Clackamas,406625,oregon
2133,Clatsop,38678,oregon
2134,Columbia,50905,oregon
2135,Coos,63319,oregon
2136,Crook,22306,oregon
2137,Curry,22607,oregon
2138,Deschutes,180666,oregon
2139,Douglas,108116,oregon
2140,Gilliam,1857,oregon
2141,Grant,7166,oregon
2142,Harney,7243,oregon
2143,Hood River,23070,oregon
2144,Jackson,214366,oregon
2145,Jefferson,23036,oregon
2146,Josephine,85504,oregon
2147,Klamath,66198,oregon
2148,Lake,7830,oregon
2149,Lane,368874,oregon
2150,Lincoln,47793,oregon
2151,Linn,122769,oregon
2152,Malheur,30340,oregon
2153,Marion,335382,oregon
2154,Morrow,11222,oregon
2155,Multnomah,803212,oregon
2156,Polk,81436,oregon
2157,Sherman,1708,oregon
2158,Tillamook,26116,oregon
2159,Umatilla,76686,oregon
2160,Union,26061,oregon
2161,Wallowa,6915,oregon
2162,Wasco,25782,oregon
2163,Washington,584910,oregon
2164,Wheeler,1319,oregon
2165,Yamhill,104070,oregon
2166,Adams,101911,pennsylvania
2167,Allegheny,1226426,pennsylvania
2168,Armstrong,66397,pennsylvania
2169,Beaver,166758,pennsylvania
2170,Bedford,48601,pennsylvania
2171,Berks,415784,pennsylvania
2172,Blair,123708,pennsylvania
2173,Bradford,61092,pennsylvania
2174,Bucks,625861,pennsylvania
2175,Butler,186240,pennsylvania
2176,Cambria,134414,pennsylvania
2177,Cameron,4710,pennsylvania
2178,Carbon,63499,pennsylvania
2179,Centre,162034,pennsylvania
2180,Chester,516767,pennsylvania
2181,Clarion,38590,pennsylvania
2182,Clearfield,80196,pennsylvania
2183,Clinton,39017,pennsylvania
2184,Columbia,66133,pennsylvania
2185,Crawford,86306,pennsylvania
2186,Cumberland,247369,pennsylvania
2187,Dauphin,274196,pennsylvania
2188,Delaware,563708,pennsylvania
2189,Elk,30512,pennsylvania
2190,Erie,276170,pennsylvania
2191,Fayette,132350,pennsylvania
2192,Forest,7334,pennsylvania
2193,Franklin,153705,pennsylvania
2194,Fulton,14497,pennsylvania
2195,Greene,37209,pennsylvania
2196,Huntingdon,45380,pennsylvania
2197,Indiana,85155,pennsylvania
2198,Jefferson,44031,pennsylvania
2199,Juniata,24559,pennsylvania
2200,Lackawanna,211004,pennsylvania
2201,Lancaster,538160,pennsylvania
2202,Lawrence,87325,pennsylvania
2203,Lebanon,138480,pennsylvania
2204,Lehigh,362298,pennsylvania
2205,Luzerne,317172,pennsylvania
2206,Lycoming,114876,pennsylvania
2207,McKean,41670,pennsylvania
2208,Mercer,112598,pennsylvania
2209,Mifflin,46316,pennsylvania
2210,Monroe,166220,pennsylvania
2211,Montgomery,819791,pennsylvania
2212,Montour,18257,pennsylvania
2213,Northampton,301307,pennsylvania
2214,Northumberland,92283,pennsylvania
2215,Perry,45945,pennsylvania
2216,Philadelphia,1576051,pennsylvania
2217,Pike,54955,pennsylvania
2218,Potter,16954,pennsylvania
2219,Schuylkill,143497,pennsylvania
2220,Snyder,40423,pennsylvania
2221,Somerset,74860,pennsylvania
2222,Sullivan,6126,pennsylvania
2223,Susquehanna,41252,pennsylvania
2224,Tioga,41250,pennsylvania
2225,Union,45454,pennsylvania
2226,Venango,52477,pennsylvania
2227,Warren,40026,pennsylvania
2228,Washington,207386,pennsylvania
2229,Wayne,51339,pennsylvania
2230,Westmoreland,354665,pennsylvania
2231,Wyoming,27546,pennsylvania
2232,York,443693,pennsylvania
2233,Abbeville,24657,south carolina
2234,Aiken,167172,south carolina
2235,Allendale,9067,south carolina
2236,Anderson,195582,south carolina
2237,Bamberg,14478,south carolina
2238,Barnwell,21606,south carolina
2239,Beaufort,183184,south carolina
2240,Berkeley,208525,south carolina
2241,Calhoun,14744,south carolina
2242,Charleston,396880,south carolina
2243,Cherokee,56683,south carolina
2244,Chester,32297,south carolina
2245,Chesterfield,46120,south carolina
2246,Clarendon,34259,south carolina
2247,Colleton,37579,south carolina
2248,Darlington,67259,south carolina
2249,Dillon,30719,south carolina
2250,Dorchester,156173,south carolina
2251,Edgefield,26626,south carolina
2252,Fairfield,22633,south carolina
2253,Florence,138595,south carolina
2254,Georgetown,61565,south carolina
2255,Greenville,499122,south carolina
2256,Greenwood,70188,south carolina
2257,Hampton,19789,south carolina
2258,Horry,321033,south carolina
2259,Jasper,28085,south carolina
2260,Kershaw,64333,south carolina
2261,Lancaster,89823,south carolina
2262,Laurens,66603,south carolina
2263,Lee,17506,south carolina
2264,Lexington,286277,south carolina
2265,McCormick,9572,south carolina
2266,Marion,31760,south carolina
2267,Marlboro,26979,south carolina
2268,Newberry,37934,south carolina
2269,Oconee,76535,south carolina
2270,Orangeburg,88419,south carolina
2271,Pickens,123020,south carolina
2272,Richland,409014,south carolina
2273,Saluda,20187,south carolina
2274,Spartanburg,300867,south carolina
2275,Sumter,107075,south carolina
2276,Union,27666,south carolina
2277,Williamsburg,31912,south carolina
2278,York,257866,south carolina
2279,Aurora,2764,south dakota
2280,Beadle,18188,south dakota
2281,Bennett,3441,south dakota
2282,Bon Homme,6940,south dakota
2283,Brookings,34301,south dakota
2284,Brown,38900,south dakota
2285,Brule,5216,south dakota
2286,Buffalo,2030,south dakota
2287,Butte,10124,south dakota
2288,Campbell,1386,south dakota
2289,Charles Mix,9358,south dakota
2290,Clark,3637,south dakota
2291,Clay,13933,south dakota
2292,Codington,28062,south dakota
2293,Corson,4118,south dakota
2294,Custer,8606,south dakota
2295,Davison,20011,south dakota
2296,Day,5509,south dakota
2297,Deuel,4253,south dakota
2298,Dewey,5785,south dakota
2299,Douglas,2919,south dakota
2300,Edmunds,3939,south dakota
2301,Fall River,6785,south dakota
2302,Faulk,2317,south dakota
2303,Grant,7212,south dakota
2304,Gregory,4158,south dakota
2305,Haakon,1885,south dakota
2306,Hamlin,5917,south dakota
2307,Hand,3275,south dakota
2308,Hanson,3383,south dakota
2309,Harding,1267,south dakota
2310,Hughes,17604,south dakota
2311,Hutchinson,7327,south dakota
2312,Hyde,1333,south dakota
2313,Jackson,3280,south dakota
2314,Jerauld,2008,south dakota
2315,Jones,931,south dakota
2316,Kingsbury,4973,south dakota
2317,Lake,12605,south dakota
2318,Lawrence,25317,south dakota
2319,Lincoln,54567,south dakota
2320,Lyman,3900,south dakota
2321,McCook,5508,south dakota
2322,McPherson,2418,south dakota
2323,Marshall,4833,south dakota
2324,Meade,27339,south dakota
2325,Mellette,2076,south dakota
2326,Miner,2229,south dakota
2327,Minnehaha,186268,south dakota
2328,Moody,6508,south dakota
2329,Oglala Lakota,14425,south dakota
2330,Pennington,109111,south dakota
2331,Perkins,2964,south dakota
2332,Potter,2256,south dakota
2333,Roberts,10192,south dakota
2334,Sanborn,2374,south dakota
2335,Spink,6493,south dakota
2336,Stanley,3012,south dakota
2337,Sully,1410,south dakota
2338,Todd,10233,south dakota
2339,Tripp,5495,south dakota
2340,Turner,8259,south dakota
2341,Union,15137,south dakota
2342,Walworth,5472,south dakota
2343,Yankton,22649,south dakota
2344,Ziebach,2871,south dakota
2345,Anderson,75528,tennessee
2346,Bedford,47442,tennessee
2347,Benton,16082,tennessee
2348,Bledsoe,14738,tennessee
2349,Blount,128264,tennessee
2350,Bradley,104390,tennessee
2351,Campbell,39784,tennessee
2352,Cannon,13876,tennessee
2353,Carroll,27901,tennessee
2354,Carter,56473,tennessee
2355,Cheatham,39775,tennessee
2356,Chester,17130,tennessee
2357,Claiborne,31634,tennessee
2358,Clay,7654,tennessee
2359,Cocke,35234,tennessee
2360,Coffee,54537,tennessee
2361,Crockett,14448,tennessee
2362,Cumberland,58580,tennessee
2363,Davidson,685829,tennessee
2364,Decatur,11735,tennessee
2365,DeKalb,19444,tennessee
2366,Dickson,51900,tennessee
2367,Dyer,37542,tennessee
2368,Fayette,39703,tennessee
2369,Fentress,18040,tennessee
2370,Franklin,41518,tennessee
2371,Gibson,49250,tennessee
2372,Giles,29165,tennessee
2373,Grainger,23095,tennessee
2374,Greene,68529,tennessee
2375,Grundy,13276,tennessee
2376,Hamblen,63681,tennessee
2377,Hamilton,357778,tennessee
2378,Hancock,6583,tennessee
2379,Hardeman,25584,tennessee
2380,Hardin,25740,tennessee
2381,Hawkins,56565,tennessee
2382,Haywood,17822,tennessee
2383,Henderson,27855,tennessee
2384,Henry,32232,tennessee
2385,Hickman,24666,tennessee
2386,Houston,8101,tennessee
2387,Humphreys,18383,tennessee
2388,Jackson,11611,tennessee
2389,Jefferson,53148,tennessee
2390,Johnson,17759,tennessee
2391,Knox,456089,tennessee
2392,Lake,7531,tennessee
2393,Lauderdale,25320,tennessee
2394,Lawrence,43056,tennessee
2395,Lewis,11891,tennessee
2396,Lincoln,33564,tennessee
2397,Loudon,51373,tennessee
2398,McMinn,52700,tennessee
2399,McNairy,25832,tennessee
2400,Macon,23340,tennessee
2401,Madison,97478,tennessee
2402,Marion,28383,tennessee
2403,Marshall,32035,tennessee
2404,Maury,89556,tennessee
2405,Meigs,11953,tennessee
2406,Monroe,45848,tennessee
2407,Montgomery,194424,tennessee
2408,Moore,6293,tennessee
2409,Morgan,21741,tennessee
2410,Obion,30547,tennessee
2411,Overton,21964,tennessee
2412,Perry,7880,tennessee
2413,Pickett,5091,tennessee
2414,Polk,16794,tennessee
2415,Putnam,75985,tennessee
2416,Rhea,32474,tennessee
2417,Roane,52944,tennessee
2418,Robertson,69393,tennessee
2419,Rutherford,307415,tennessee
2420,Scott,21890,tennessee
2421,Sequatchie,14754,tennessee
2422,Sevier,96470,tennessee
2423,Shelby,936021,tennessee
2424,Smith,19526,tennessee
2425,Stewart,13190,tennessee
2426,Sullivan,156182,tennessee
2427,Sumner,179332,tennessee
2428,Tipton,61223,tennessee
2429,Trousdale,9955,tennessee
2430,Unicoi,17737,tennessee
2431,Union,19219,tennessee
2432,Van Buren,5721,tennessee
2433,Warren,40428,tennessee
2434,Washington,127247,tennessee
2435,Wayne,16747,tennessee
2436,Weakley,33610,tennessee
2437,White,26463,tennessee
2438,Williamson,218903,tennessee
2439,Wilson,132494,tennessee
2440,Anderson,57526,texas
2441,Andrews,17791,texas
2442,Angelina,87682,texas
2443,Aransas,25162,texas
2444,Archer,8781,texas
2445,Armstrong,1843,texas
2446,Atascosa,48720,texas
2447,Austin,29629,texas
2448,Bailey,7196,texas
2449,Bandera,21701,texas
2450,Bastrop,82591,texas
2451,Baylor,3638,texas
2452,Bee,32812,texas
2453,Bell,341094,texas
2454,Bexar,1927651,texas
2455,Blanco,11301,texas
2456,Borden,657,texas
2457,Bosque,18009,texas
2458,Bowie,93424,texas
2459,Brazoria,353155,texas
2460,Brazos,219739,texas
2461,Brewster,9211,texas
2462,Briscoe,1483,texas
2463,Brooks,7190,texas
2464,Brown,38039,texas
2465,Burleson,17848,texas
2466,Burnet,45817,texas
2467,Caldwell,41147,texas
2468,Calhoun,21948,texas
2469,Callahan,13789,texas
2470,Cameron,421350,texas
2471,Camp,12771,texas
2472,Carson,6096,texas
2473,Cass,30058,texas
2474,Castro,7765,texas
2475,Chambers,40163,texas
2476,Cherokee,51879,texas
2477,Childress,7204,texas
2478,Clay,10251,texas
2479,Cochran,2921,texas
2480,Coke,3259,texas
2481,Coleman,8412,texas
2482,Collin,943742,texas
2483,Collingsworth,3007,texas
2484,Colorado,21081,texas
2485,Comal,134343,texas
2486,Comanche,13543,texas
2487,Concho,4140,texas
2488,Cooke,39343,texas
2489,Coryell,74803,texas
2490,Cottle,1402,texas
2491,Crane,4779,texas
2492,Crockett,3642,texas
2493,Crosby,5911,texas
2494,Culberson,2220,texas
2495,Dallam,7357,texas
2496,Dallas,2591488,texas
2497,Dawson,12999,texas
2498,Deaf Smith,18846,texas
2499,Delta,5147,texas
2500,Denton,808212,texas
2501,DeWitt,20623,texas
2502,Dickens,2193,texas
2503,Dimmit,10679,texas
2504,Donley,3387,texas
2505,Duval,11431,texas
2506,Eastland,18240,texas
2507,Ector,157858,texas
2508,Edwards,1908,texas
2509,Ellis,168332,texas
2510,El Paso,834949,texas
2511,Erath,41372,texas
2512,Falls,17276,texas
2513,Fannin,33933,texas
2514,Fayette,25018,texas
2515,Fisher,3877,texas
2516,Floyd,5847,texas
2517,Foard,1200,texas
2518,Fort Bend,744160,texas
2519,Franklin,10677,texas
2520,Freestone,19669,texas
2521,Frio,19584,texas
2522,Gaines,20446,texas
2523,Galveston,328820,texas
2524,Garza,6212,texas
2525,Gillespie,26206,texas
2526,Glasscock,1365,texas
2527,Goliad,7512,texas
2528,Gonzales,20787,texas
2529,Gray,22741,texas
2530,Grayson,128291,texas
2531,Gregg,123367,texas
2532,Grimes,27494,texas
2533,Guadalupe,154492,texas
2534,Hale,34107,texas
2535,Hall,3113,texas
2536,Hamilton,8237,texas
2537,Hansford,5592,texas
2538,Hardeman,3982,texas
2539,Hardin,56242,texas
2540,Harris,4623960,texas
2541,Harrison,66611,texas
2542,Hartley,5740,texas
2543,Haskell,5751,texas
2544,Hays,204546,texas
2545,Hemphill,4101,texas
2546,Henderson,80062,texas
2547,Hidalgo,848960,texas
2548,Hill,35102,texas
2549,Hockley,23043,texas
2550,Hood,56569,texas
2551,Hopkins,36184,texas
2552,Houston,22897,texas
2553,Howard,36214,texas
2554,Hudspeth,4254,texas
2555,Hunt,91895,texas
2556,Hutchinson,21528,texas
2557,Irion,1562,texas
2558,Jack,8789,texas
2559,Jackson,14873,texas
2560,Jasper,35417,texas
2561,Jeff Davis,2231,texas
2562,Jefferson,255748,texas
2563,Jim Hogg,5257,texas
2564,Jim Wells,41181,texas
2565,Johnson,162763,texas
2566,Jones,19971,texas
2567,Karnes,15494,texas
2568,Kaufman,117904,texas
2569,Kendall,41903,texas
2570,Kenedy,436,texas
2571,Kent,748,texas
2572,Kerr,51426,texas
2573,Kimble,4413,texas
2574,King,292,texas
2575,Kinney,3636,texas
2576,Kleberg,31304,texas
2577,Knox,3732,texas
2578,Lamar,49528,texas
2579,Lamb,13195,texas
2580,Lampasas,20524,texas
2581,La Salle,7596,texas
2582,Lavaca,19891,texas
2583,Lee,16975,texas
2584,Leon,17200,texas
2585,Liberty,81354,texas
2586,Limestone,23472,texas
2587,Lipscomb,3494,texas
2588,Live Oak,12023,texas
2589,Llano,20592,texas
2590,Loving,117,texas
2591,Lubbock,302094,texas
2592,Lynn,5775,texas
2593,McCulloch,8124,texas
2594,McLennan,247553,texas
2595,McMullen,806,texas
2596,Madison,14120,texas
2597,Marion,10125,texas
2598,Martin,5616,texas
2599,Mason,4161,texas
2600,Matagorda,37088,texas
2601,Maverick,58041,texas
2602,Medina,49254,texas
2603,Menard,2091,texas
2604,Midland,163850,texas
2605,Milam,24680,texas
2606,Mills,4884,texas
2607,Mitchell,8474,texas
2608,Montague,19390,texas
2609,Montgomery,555216,texas
2610,Moore,21641,texas
2611,Morris,12429,texas
2612,Motley,1170,texas
2613,Nacogdoches,65549,texas
2614,Navarro,48405,texas
2615,Newton,14160,texas
2616,Nolan,15044,texas
2617,Nueces,361642,texas
2618,Ochiltree,10257,texas
2619,Oldham,2074,texas
2620,Orange,84549,texas
2621,Palo Pinto,28125,texas
2622,Panola,23419,texas
2623,Parker,128967,texas
2624,Parmer,9762,texas
2625,Pecos,15881,texas
2626,Polk,47656,texas
2627,Potter,120632,texas
2628,Presidio,7156,texas
2629,Rains,11304,texas
2630,Randall,132342,texas
2631,Reagan,3726,texas
2632,Real,3399,texas
2633,Red River,12179,texas
2634,Reeves,15229,texas
2635,Refugio,7272,texas
2636,Roberts,910,texas
2637,Robertson,16804,texas
2638,Rockwall,93421,texas
2639,Runnels,10276,texas
2640,Rusk,52892,texas
2641,Sabine,10381,texas
2642,San Augustine,8288,texas
2643,San Jacinto,27732,texas
2644,San Patricio,67311,texas
2645,San Saba,5922,texas
2646,Schleicher,3057,texas
2647,Scurry,17394,texas
2648,Shackelford,3337,texas
2649,Shelby,25566,texas
2650,Sherman,3070,texas
2651,Smith,225161,texas
2652,Somervell,8671,texas
2653,Starr,63894,texas
2654,Stephens,9377,texas
2655,Sterling,1339,texas
2656,Stonewall,1401,texas
2657,Sutton,3886,texas
2658,Swisher,7428,texas
2659,Tarrant,2023556,texas
2660,Taylor,136257,texas
2661,Terrell,818,texas
2662,Terry,12770,texas
2663,Throckmorton,1537,texas
2664,Titus,32463,texas
2665,Tom Green,117634,texas
2666,Travis,1206110,texas
2667,Trinity,14543,texas
2668,Tyler,21423,texas
2669,Upshur,40771,texas
2670,Upton,3690,texas
2671,Uvalde,27081,texas
2672,Val Verde,48911,texas
2673,Van Zandt,54367,texas
2674,Victoria,92402,texas
2675,Walker,71845,texas
2676,Waller,50046,texas
2677,Ward,11571,texas
2678,Washington,34740,texas
2679,Webb,272301,texas
2680,Wharton,41609,texas
2681,Wheeler,5518,texas
2682,Wichita,131295,texas
2683,Wilbarger,12880,texas
2684,Willacy,21761,texas
2685,Williamson,527622,texas
2686,Wilson,48212,texas
2687,Winkler,7915,texas
2688,Wise,64478,texas
2689,Wood,43753,texas
2690,Yoakum,8652,texas
2691,Young,18098,texas
2692,Zapata,14446,texas
2693,Zavala,12121,texas
2694,Beaver,6478,utah
2695,Box Elder,52975,utah
2696,Cache,122201,utah
2697,Carbon,20324,utah
2698,Daggett,1076,utah
2699,Davis,341000,utah
2700,Duchesne,20242,utah
2701,Emery,10206,utah
2702,Garfield,4952,utah
2703,Grand,9622,utah
2704,Iron,49676,utah
2705,Juab,11016,utah
2706,Kane,7297,utah
2707,Millard,12655,utah
2708,Morgan,11370,utah
2709,Piute,1459,utah
2710,Rich,2313,utah
2711,Salt Lake,1120109,utah
2712,San Juan,15329,utah
2713,Sanpete,29232,utah
2714,Sevier,21131,utah
2715,Summit,40512,utah
2716,Tooele,64612,utah
2717,Uintah,36264,utah
2718,Utah,590288,utah
2719,Wasatch,30375,utah
2720,Washington,159352,utah
2721,Wayne,2671,utah
2722,Weber,247131,utah
2723,Accomack,32871,virginia
2724,Albemarle,106431,virginia
2725,Alleghany,15387,virginia
2726,Amelia,12801,virginia
2727,Amherst,31887,virginia
2728,Appomattox,15528,virginia
2729,Arlington,231259,virginia
2730,Augusta,74834,virginia
2731,Bath,4409,virginia
2732,Bedford,77993,virginia
2733,Bland,6472,virginia
2734,Botetourt,33252,virginia
2735,Brunswick,16618,virginia
2736,Buchanan,22212,virginia
2737,Buckingham,17051,virginia
2738,Campbell,55419,virginia
2739,Caroline,30099,virginia
2740,Carroll,29789,virginia
2741,Charles City,7034,virginia
2742,Charlotte,12119,virginia
2743,Chesterfield,338479,virginia
2744,Clarke,14294,virginia
2745,Craig,5120,virginia
2746,Culpeper,50319,virginia
2747,Cumberland,9745,virginia
2748,Dickenson,15014,virginia
2749,Dinwiddie,28468,virginia
2750,Essex,11077,virginia
2751,Fairfax,1144188,virginia
2752,Fauquier,68805,virginia
2753,Floyd,15677,virginia
2754,Fluvanna,26187,virginia
2755,Franklin,56158,virginia
2756,Frederick,84638,virginia
2757,Giles,16827,virginia
2758,Gloucester,37114,virginia
2759,Goochland,22485,virginia
