state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,electric vehicle %,population,voter turnout %
arkansas,Prairie,2505,814,3319,75.47,24.53,0.3491078355314196,8252.0,40.22055259331071
arkansas,Cleveland,2462,723,3185,77.3,22.7,0.3867747972551466,8245.0,38.629472407519714
arkansas,Nevada,2000,1157,3157,63.35,36.65,0.3496925117569034,8378.0,37.68202434948675
arkansas,Lee,1229,1735,2964,41.46,58.54,0.1457253886010363,9337.0,31.744671736103676
arkansas,Monroe,1489,1312,2801,53.16,46.84,0.3727222528989509,7205.0,38.87578070784178
arkansas,Lafayette,1758,1032,2790,63.01,36.99,0.2300260696212237,6888.0,40.505226480836235
arkansas,Dallas,1509,1165,2674,56.43,43.57,0.1311188811188811,7399.0,36.14001892147588
arkansas,Woodruff,1347,1118,2465,54.65,45.35,0.2019574335870747,6600.0,37.348484848484844
arkansas,Calhoun,1556,639,2195,70.89,29.11,0.3004595263343937,5143.0,42.679370017499515
california,Los Angeles,2464364,769743,3234107,76.2,23.8,4.404644030298346,10105708.0,32.002775065339314
california,San Diego,735476,477766,1213242,60.62,39.38,3.860358736646429,3306089.0,36.697197201890205
california,Orange,609961,507148,1117109,54.6,45.4,4.357492184886946,3164986.0,35.29585912860278
california,Riverside,373695,333243,706938,52.86,47.14,2.59029692114056,2380081.0,29.702266435470055
california,Santa Clara,511684,144826,656510,77.94,22.06,7.003950852056165,1928368.0,34.0448503605121
california,Alameda,514842,95922,610764,84.29,15.71,6.374804944524579,1650950.0,36.99470002119992
california,San Bernardino,340833,271240,612073,55.69,44.31,2.1211029879593286,2131960.0,28.709403553537587
california,Sacramento,326023,189789,515812,63.21,36.79,2.9677598654566486,1510987.0,34.137421433804526
california,Contra Costa,319287,115956,435243,73.36,26.64,5.145290603514815,1137268.0,38.270926465881395
california,San Francisco,345084,37688,382772,90.15,9.85,9.062589948097049,871512.0,43.92045089453731
california,Ventura,194402,132323,326725,59.5,40.5,3.956091745236271,847323.0,38.55967559006424
california,San Mateo,237882,57929,295811,80.42,19.58,6.918852038011596,767906.0,38.52177219607608
california,Fresno,141341,124049,265390,53.26,46.74,1.8523132918037375,976830.0,27.16849400612184
california,Kern,98689,129584,228273,43.23,56.77,1.4574682845598292,880856.0,25.914905501012655
california,Sonoma,160435,51408,211843,75.73,24.27,5.183418435904327,502547.0,42.15386819541257
california,San Joaquin,121124,88936,210060,57.66,42.34,2.223886434468135,732809.0,28.665040958831018
california,Placer,73509,95138,168647,43.59,56.41,3.667216374088744,378943.0,44.504582483381405
california,Santa Barbara,107142,56365,163507,65.53,34.47,3.47578088259834,444340.0,36.79772246477923
california,Stanislaus,81647,78494,160141,50.98,49.02,1.7279303058494335,539255.0,29.696711203419536
california,Solano,102360,51920,154280,66.35,33.65,3.4916758954993554,438858.0,35.15487925479312
california,Marin,108707,21771,130478,83.31,16.69,8.802693036799624,260562.0,50.075605805911835
california,San Luis Obispo,67107,56164,123271,54.44,45.56,3.871644495303486,281803.0,43.7436790949706
california,Monterey,89088,34895,123983,71.86,28.14,2.6183972199441867,433953.0,28.570605572492873
california,Santa Cruz,95249,22438,117687,80.93,19.07,5.533710108569522,274396.0,42.88947360748699
california,Tulare,47585,58299,105884,44.94,55.06,1.2265499686170582,459235.0,23.056605006151536
california,Butte,41567,45144,86711,47.94,52.06,2.2342804260480196,226231.0,38.3285226162639
california,El Dorado,36404,49247,85651,42.5,57.5,3.1645455148339954,185976.0,46.05486729470469
california,Yolo,54752,20739,75491,72.53,27.47,4.2935657438225885,215627.0,35.00999411019956
california,Shasta,22301,51778,74079,30.1,69.9,1.9873951204423304,178571.0,41.48433956241495
california,Merced,37317,28725,66042,56.5,43.5,1.3848975848364415,267628.0,24.676790171431985
california,Napa,39199,17411,56610,69.24,30.76,4.566767016159728,140840.0,40.19454700369213
california,Humboldt,33200,18373,51573,64.37,35.63,2.9998074802667274,136290.0,37.84063394232886
california,Nevada,26053,23365,49418,52.72,47.28,3.0329403988101795,98913.0,49.96107690596787
california,Imperial,32667,12704,45371,72.0,28.0,0.7282293731889582,180179.0,25.181069936008083
california,Madera,17029,23357,40386,42.17,57.83,1.5464633659239706,153956.0,26.232170230455452
california,Mendocino,22079,10888,32967,66.97,33.03,2.947334514414559,87285.0,37.76937618147448
california,Kings,13617,18093,31710,42.94,57.06,1.3299838943306015,149382.0,21.227457123348195
california,Sutter,13076,18176,31252,41.84,58.16,1.6299844640082854,95742.0,32.6418917507468
california,Tuolumne,9123,14551,23674,38.54,61.46,1.54792771177586,53770.0,44.02826855123675
california,Lake,11496,10599,22095,52.03,47.97,1.9705955028416111,63903.0,34.575841509788276
california,Tehama,6809,15494,22303,30.53,69.47,1.2969059788638886,63453.0,35.14885033016563
california,Calaveras,7944,13511,21455,37.03,62.97,1.9943758600745896,45322.0,47.33904064251357
